text,text_pair
DEMO-REQ-20009-1: regenerative braking controller must allow field technicians to inspect or replace the brake-energy monitoring channel without unnecessary disassembly for planned customer-site service. Acceptance DEMO-REQ-20009-1: access time and diagnostic confidence.,DEMO-EVID-30009 QA note: positive result for blend regenerative and friction braking on downhill hauls during long descending haul road with high payload against DEMO-REQ-20009-1. Not evaluated: protect the battery when the pack cannot accept full regeneration in high state of charge near the dump point although the hardware configuration is otherwise comparable for DEMO-REQ-20009-1.
DEMO-REQ-20160-3: autonomous haulage controller shall allow remote product support to classify faults involving the front perception pod before dispatching parts during customer-site troubleshooting. Acceptance DEMO-REQ-20160-3: fault context completeness and remote retrieval time.,Field-support note DEMO-EVID-30160 says the deciding status can be read only after reaching the front perception pod for DEMO-REQ-20160-3. Remote logs contain the event time but not enough detail for parts selection for DEMO-REQ-20160-3.
Release item DEMO-REQ-20228-0: traction inverter shall track torque command during loaded ramp launch when loaded launch on a moderate grade is active. Review DEMO-REQ-20228-0: checks torque error and current-limit behaviour.,Trial DEMO-EVID-30228 follows the requested signal path and then introduces dust loading for DEMO-REQ-20228-0. Measured margin moves close to the decision band but no hard stop occurs in the short observation window for DEMO-REQ-20228-0.
DEMO-REQ-20348-0: lidar unit shall report the scan availability flag during normal charging stop. Acceptance DEMO-REQ-20348-0: checks signal timing and recorded state alignment.,DEMO-EVID-30348 commissioning note: normal charging stop run captured the scan availability flag on the diagnostic recorder for DEMO-REQ-20348-0. Recorded state changes matched the requested sequence for DEMO-REQ-20348-0. Cold-start behavior was not part of this record and is tracked under a separate demo item for DEMO-REQ-20348-0.
DEMO-REQ-20396-1: predictive maintenance model must identify wheel-drive bearing drift before the inspection interval for slow vibration trend growth. Acceptance DEMO-REQ-20396-1: lead time and confirmed work-order relevance.,DEMO-EVID-30396 report: earlier review ID is named; cross-reference added for DEMO-REQ-20396-1. Run content appears to use the same operating case as the current record for DEMO-REQ-20396-1.
Release item DEMO-REQ-20172-2: fleet telemetry gateway shall allow field technicians to inspect or replace the remote diagnostic interface without unnecessary disassembly when planned customer-site service is active. Review DEMO-REQ-20172-2: checks access time and diagnostic confidence.,DEMO-EVID-30172 archive: old revision wording is present with a mapping note for DEMO-REQ-20172-2. Numbers look relevant; the current release line is not always named in the individual tables for DEMO-REQ-20172-2.
Verification item DEMO-REQ-20024-1: GNSS-denied localization module must maintain pose quality without satellite reference in covered crusher approach. Review DEMO-REQ-20024-1: pose covariance and route deviation.,DEMO-EVID-30024 bench record: one representative sequence for maintain pose quality without satellite reference during covered crusher approach against DEMO-REQ-20024-1. It is useful for early comparison but does not repeat the full acceptance window for DEMO-REQ-20024-1.
Verification item DEMO-REQ-20157-3: high-voltage battery pack must limit cell-temperature spread during repeated haul cycles in alternating loaded and unloaded cycles. Review DEMO-REQ-20157-3: cell delta and balancing state.,DEMO-EVID-30157 campaign: shortened profile for limit cell-temperature spread during repeated haul cycles in alternating loaded and unloaded cycles against DEMO-REQ-20157-3. Result looked stable; the run length was selected for screening rather than release endurance for DEMO-REQ-20157-3.
DEMO-REQ-20074-1: remote diagnostic interface shall notify fleet supervision before remote diagnostic interface behaviour reduces truck availability during production dispatch monitoring. Acceptance DEMO-REQ-20074-1: alert lead time and event context.,DEMO-EVID-30074 QA note: positive result for retrieve charger fault context without opening a cabinet during customer-site troubleshooting after a failed charge against DEMO-REQ-20074-1. Not evaluated: separate customer-visible messages from engineering-only diagnostic fields in remote review of a normal completed charge although the hardware configuration is otherwise comparable for DEMO-REQ-20074-1.
DEMO-REQ-20375-3: service access panel layout shall detect and report the observed restriction in the service access panel layout during routine low-voltage service walkdown. Acceptance DEMO-REQ-20375-3: clearance marking and cover separation.,Commissioning note DEMO-EVID-30375 shows the service access panel layout entered a restricted state during routine low-voltage service walkdown for DEMO-REQ-20375-3. Event log is complete enough for diagnosis but the behaviour remains undesirable for production flow for DEMO-REQ-20375-3.
