text,text_pair,label_traceability_gap,label_validation_gap,label_design_inconsistency,label_environmental_dependency,label_serviceability_impact,label_operational_risk
DEMO-REQ-20049-2: regenerative braking controller must blend regenerative and friction braking on downhill hauls for long descending haul road with high payload. Acceptance DEMO-REQ-20049-2: brake balance and speed stability.,DEMO-EVID-30049 screen: exercised blend regenerative and friction braking on downhill hauls under long descending haul road with high payload; no anomaly logged against DEMO-REQ-20049-2. Reviewer note: the duration was intentionally reduced to protect prototype availability for DEMO-REQ-20049-2.,0,1,0,0,0,0
DEMO-REQ-20339-0: electric wheel drive shall allow field technicians to inspect or replace the wheel-drive temperature sensor without unnecessary disassembly during planned customer-site service. Acceptance DEMO-REQ-20339-0: access time and diagnostic confidence.,DEMO-EVID-30339 report: earlier review ID is named; cross-reference added for DEMO-REQ-20339-0. Run content appears to use the same operating case as the current record for DEMO-REQ-20339-0.,1,0,0,0,1,0
DEMO-REQ-20149-3: route-planning module shall display the planned segment handover during warm-soak restart. Acceptance DEMO-REQ-20149-3: checks recorded value stability during the requested window.,DEMO-EVID-30149 validation memo: warm-soak restart run captured the planned segment handover on the dispatch review screen for DEMO-REQ-20149-3. Reviewers closed the observation after comparing the requested case with the captured run for DEMO-REQ-20149-3. Aborted sessions were excluded because the requirement names only the nominal stop case for DEMO-REQ-20149-3.,0,0,0,0,0,0
DEMO-REQ-20106-0: battery thermal management system must complete two uphill loaded cycles without thermal power reduction for high ambient temperature with full payload. Acceptance DEMO-REQ-20106-0: coolant temperature and derating state.,DEMO-EVID-30106 package: used the battery thermal management system setup for short dwell time between haul and charge and recorded stable preconditioning duration and charger-ready state against DEMO-REQ-20106-0. Open item: high ambient temperature with full payload and the related complete two uphill loaded cycles without thermal power reduction sequence for a later campaign for DEMO-REQ-20106-0.,0,1,0,1,0,0
Release item DEMO-REQ-20216-1: factory acceptance test station shall verify software configuration before the truck leaves production when end-of-line production test is active. Review DEMO-REQ-20216-1: checks configuration hash and test record linkage.,DEMO-EVID-30216 QA note: positive result for reproduce the commissioning sequence used at the customer site during site acceptance replay with fleet dispatch messages against DEMO-REQ-20216-1. Not evaluated: verify software configuration before the truck leaves production in end-of-line production test although the hardware configuration is otherwise comparable for DEMO-REQ-20216-1.,1,1,0,1,0,0
DEMO-REQ-20413-1: predictive maintenance model must identify wheel-drive bearing drift before the inspection interval for slow vibration trend growth. Acceptance DEMO-REQ-20413-1: lead time and confirmed work-order relevance.,DEMO-EVID-30413 bench record: one representative sequence for identify wheel-drive bearing drift before the inspection interval during slow vibration trend growth against DEMO-REQ-20413-1. It is useful for early comparison but does not repeat the full acceptance window for DEMO-REQ-20413-1.,0,1,0,0,0,0
DEMO-REQ-20249-0: perception sensor cluster shall publish the forward object confidence during moderate ambient heat. Acceptance DEMO-REQ-20249-0: checks repeatability across the agreed demonstration sequence.,DEMO-EVID-30249 supplier-quality screen: moderate ambient heat run captured the forward object confidence on the sensor health page for DEMO-REQ-20249-0. Dashboard values matched the archived vehicle stream for DEMO-REQ-20249-0. Higher payload classes remain outside this acceptance check by design for DEMO-REQ-20249-0.,0,0,0,0,0,0
DEMO-REQ-20334-1: remote diagnostic interface shall retrieve charger fault context without opening a cabinet during customer-site troubleshooting after a failed charge. Acceptance DEMO-REQ-20334-1: available fault fields and retrieval time.,DEMO-EVID-30334 evidence note: exercised separate customer-visible messages from engineering-only diagnostic fields in remote review of a normal completed charge; message classification and access-control state stayed within the review window against DEMO-REQ-20334-1. Scope note: customer-site troubleshooting after a failed charge and retrieve charger fault context without opening a cabinet were not part of this run for DEMO-REQ-20334-1.,0,1,0,1,0,0
Verification item DEMO-REQ-20407-3: traction inverter must track torque command during loaded ramp launch in loaded launch on a moderate grade. Review DEMO-REQ-20407-3: torque error and current-limit behaviour.,DEMO-EVID-30407 campaign: shortened profile for track torque command during loaded ramp launch in loaded launch on a moderate grade against DEMO-REQ-20407-3. Result looked stable; the run length was selected for screening rather than release endurance for DEMO-REQ-20407-3.,0,1,0,1,0,1
Customer constraint DEMO-REQ-20391-0: charging station handshake module shall inform dispatch when station authorization is delayed under temporary station queue delay. Evidence DEMO-REQ-20391-0: dispatch status and timeout escalation.,DEMO-EVID-30391 implementation review: recorded a controlled full stop before restart authorization after temporary station queue delay against DEMO-REQ-20391-0. Engineering accepted the protective response; remote recovery timing for a separate check for DEMO-REQ-20391-0.,0,0,1,0,0,1
